,distributor,distributor2
0,Walt Disney Studios Motion Pictures,Lionsgate
1,Lionsgate,Sony Pictures
2,Warner Bros.,Universal Pictures
3,Universal Pictures,Screen Media Films
4,STX Entertainment,Amazon
5,Sony Pictures Releasing,Well Go USA
6,Screen Gems,Paramount Pictures
7,Paramount Pictures,Cinedigm
8,Bleecker Street Media,Warner Bros Pictures
9,Amazon Studios,Walt Disney Pictures
10,Indican Pictures,20th Century Fox
11,Kino Lorber,Vertical Entertainment
12,PackYourBag Films,RLJ Entertainment
13,Citadel Film Group,Independent
14,Fathom Events,Netflix
15,CMC Pictures Holdings,MGM
16,CMC Pictures,A24
17,Strand Releasing,The Orchard
18,China Lion Film Distribution,Altitude
19,The Samuel Goldwyn Company,United Artists
20,Dada Films,StudioCanal
21,Greenwich Entertainment,Columbia Pictures
22,Rialto Pictures,STX Entertainment
23,Metrograph Pictures,HBO Films
24,CJ Entertainment,Blue Fox Entertainment
25,Janus Films,Fox Searchlight
26,Gravitas Ventures,CBS Films
27,Grasshopper Film,IFC Films
28,Barn Owl Pictures,Roadside Attractions
29,GKIDS,NEON
30,Film Movement,Focus Features
31,Aspiration Entertainment,The Film Arcade
32,Blue Fox Entertainment,Saban Films
33,First Run,Annapurna Pictures
34,Icarus Films,Gravitas Ventures
35,The Cinema Guild,Sony Pictures Classics
36,IFC Films,DreamWorks Animation
37,Driving With Our Eyes Shut,The Weinstein Company
38,The Film Arcade,Samuel Goldwyn Films
39,GathrFilms,Dark Sky Films
40,Magnolia Pictures,Bleecker Street
41,Viva Pictures Distribution,Momentum Pictures
42,Entertainment One,Marvel Studios
43,Distrib Films,E1 Entertainment
44,Reel One Entertainment,Blumhouse Pictures
45,Independent,FilmRise
46,Cinedigm Entertainment Group,Alchemy
47,Well Go USA Entertainment,Disney Pixar
48,CFI Releasing,Europacorp
49,Newcity,Epic Pictures Group
50,AMBI Distribution,Oscilloscope Pictures
51,Vertical Entertainment,Dualist
52,Synergetic Distribution,Apple TV
53,Twentieth Century Fox,Hulu
54,Abramorama,Pathe
55,Fun Academy Motion Pictures,Shout Factory
56,Oscilloscope,Screen Gems
57,Ammo Content,Magnolia Pictures
58,ArtMattan Productions,Zeitgeist Films
59,GVN Releasing,Freestyle Releasing
60,Hannover House,Kino Lorber
61,The Orchard,Orion Pictures
62,Parade Deck Films,Amazon Studios
63,Central Square Films,Greenwich Films Releasing
64,Cinema Libre Studio,Well Go Usa
65,Sony Pictures Classics,Icon Entertainment International
66,Paladin,Sony Pictures Animation
67,Roadside Attractions,New Line Cinema
68,Great Point Media,Aviron Pictures
69,BloodSweatHoney,Filmbuff
70,Cleopatra Films,Neon
71,PBS Distribution,Showtime
72,Arrow Films,West End Films
73,Music Box Films,Breaking Glass Pictures
74,Fine Line Media,Wild Eye Releasing
75,Epic Pictures Group,Darkstar Pictures
76,Carpe Stella,Vice
77,Zipporah Films,SP Releasing
78,Cohen Media Group,Music Box Films
79,Mainstreet Productions,PBS Films
80,FilmRise,GKids
81,IronFlix,MarVista Entertainment
82,Carusel,Open Road Films
83,Mr. Pictures,Madman
