title,domestic_revenue,distributor,budget,MPAA,genres,release_date
Avengers: Endgame,"$858,373,000 ",Walt Disney Studios Motion Pictures,"$356,000,000 ",PG-13,"Action,Adventure,Drama,Sci-Fi",26-Apr-19
Knives Out,"$164,655,243 ",Lionsgate,"$40,000,000 ",PG-13,"Comedy,Crime,Drama,Mystery,Thriller",27-Nov-19
Star Wars: Episode VIII - The Last Jedi,"$620,181,382 ",Walt Disney Studios Motion Pictures,"$317,000,000 ",PG-13,"Action,Adventure,Fantasy,Sci-Fi",15-Dec-17
Aquaman,"$335,061,807 ",Warner Bros.,N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi",21-Dec-18
Shazam!,"$140,371,656 ",Warner Bros.,"$100,000,000 ",PG-13,"Action,Adventure,Comedy,Fantasy",5-Apr-19
Godzilla: King of the Monsters,"$110,500,138 ",Warner Bros.,"$170,000,000 ",PG-13,"Action,Adventure,Fantasy,Sci-Fi",31-May-19
Maleficent: Mistress of Evil,"$113,929,605 ",Walt Disney Studios Motion Pictures,N/A,PG,"Adventure,Family,Fantasy",18-Oct-19
Dumbo,"$114,766,307 ",Walt Disney Studios Motion Pictures,"$170,000,000 ",PG,"Adventure,Family,Fantasy",29-Mar-19
Glass,"$111,048,468 ",Universal Pictures,"$20,000,000 ",PG-13,"Drama,Sci-Fi,Thriller",18-Jan-19
The Upside,"$108,252,517 ",STX Entertainment,"$37,500,000 ",PG-13,"Comedy,Drama",11-Jan-19
Once Upon a Time... in Hollywood,"$142,502,728 ",Sony Pictures Releasing,"$90,000,000 ",R,"Comedy,Drama",26-Jul-19
Pokémon Detective Pikachu,"$144,105,346 ",Warner Bros.,"$150,000,000 ",PG,"Action,Adventure,Comedy,Family,Mystery,Sci-Fi",10-May-19
The Secret Life of Pets 2,"$158,874,395 ",Universal Pictures,"$80,000,000 ",PG,"Adventure,Animation,Comedy,Family",7-Jun-19
How to Train Your Dragon: The Hidden World,"$160,799,505 ",Universal Pictures,"$129,000,000 ",PG,"Action,Adventure,Animation,Family,Fantasy",22-Feb-19
John Wick: Chapter 3 - Parabellum,"$171,015,687 ",Lionsgate,N/A,R,"Action,Crime,Thriller",17-May-19
Get Out,"$176,040,665 ",Universal Pictures,"$4,500,000 ",R,"Horror,Mystery,Thriller",24-Feb-17
The Meg,"$145,443,742 ",Warner Bros.,"$130,000,000 ",PG-13,"Action,Horror,Sci-Fi,Thriller",10-Aug-18
Proud Mary,"$20,877,013 ",Screen Gems,"$14,000,000 ",R,"Action,Crime,Drama,Thriller",12-Jan-18
Bumblebee,"$127,195,589 ",Paramount Pictures,"$135,000,000 ",PG-13,"Action,Adventure,Sci-Fi",21-Dec-18
Unsane,"$7,732,899 ",Bleecker Street Media,N/A,R,"Drama,Horror,Mystery,Thriller",23-Mar-18
Beautiful Boy,"$7,649,973 ",Amazon Studios,N/A,R,"Biography,Drama",N/A
The Lumber Baron,"$88,336 ",Indican Pictures,N/A,PG,"Drama,History,Mystery",24-May-19
The Chambermaid,"$86,422 ",Kino Lorber,N/A,N/A,Drama,28-Jun-19
Sonchiriya,"$86,765 ",PackYourBag Films,N/A,N/A,"Action,Crime,Drama",1-Mar-19
ECCO,"$86,858 ",Citadel Film Group,N/A,R,"Crime,Drama,Thriller",9-Aug-19
Cyrano de Bergerac,"$86,300 ",Fathom Events,N/A,N/A,N/A,23-Jan-19
My Dear Liar,"$90,545 ",CMC Pictures Holdings,N/A,N/A,Drama,8-Nov-19
The Crossing,"$90,896 ",CMC Pictures,N/A,N/A,Drama,15-Mar-19
Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$90,341 ",Fathom Events,N/A,N/A,"Animation,Drama,Family,Music",11-Jul-19
Ramen Shop,"$88,455 ",Strand Releasing,N/A,N/A,Drama,22-Mar-19
Mayday Life,"$85,912 ",China Lion Film Distribution,N/A,N/A,Music,31-May-19
Mapplethorpe,"$91,002 ",The Samuel Goldwyn Company,N/A,N/A,"Biography,Drama",1-Mar-19
Jim Allison: Breakthrough,"$87,984 ",Dada Films,N/A,PG-13,Documentary,27-Sep-19
"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073 ",Greenwich Entertainment,N/A,N/A,Documentary,29-May-19
Kind Hearts and Coronets,"$33,888 ",Rialto Pictures,N/A,N/A,"Comedy,Crime",27-Nov-19
El Norte,"$27,920 ",Fathom Events,N/A,N/A,Drama,15-Sep-19
A Bigger Splash,"$95,826 ",Metrograph Pictures,N/A,N/A,"Biography,Documentary,Drama",21-Jun-19
Take Point,"$112,386 ",CJ Entertainment,N/A,N/A,Action,27-Dec-18
Varda by Agnès,"$156,865 ",Janus Films,N/A,N/A,"Biography,Documentary",22-Nov-19
Loopers: The Caddie's Long Walk,"$90,679 ",Gravitas Ventures,N/A,PG,"Documentary,Sport",7-Jun-19
The Load,"$28,410 ",Grasshopper Film,N/A,N/A,Drama,30-Aug-19
Saving Brinton,"$56,218 ",Barn Owl Pictures,N/A,N/A,Documentary,17-Sep-17
Ridge Runners,"$26,019 ",Indican Pictures,N/A,N/A,"Crime,Drama,Thriller",19-Jan-18
Birdboy: The Forgotten Children,"$38,786 ",GKIDS,N/A,N/A,"Animation,Drama,Horror,Sci-Fi",15-Dec-17
Jet Trash,"$26,002 ",Indican Pictures,N/A,N/A,"Drama,Thriller",27-Apr-18
Série noire,"$5,633 ",Rialto Pictures,N/A,N/A,"Crime,Drama",27-Sep-19
The Fate of Lee Khan,"$4,295 ",Film Movement,N/A,N/A,"Action,Drama",5-Apr-19
Gregory's Girl,"$7,710 ",Film Movement,N/A,N/A,"Comedy,Drama,Romance",4-Oct-19
Love Goes Public,"$5,700 ",Aspiration Entertainment,N/A,N/A,Documentary,25-Oct-19
Summer '03,"$11,746 ",Blue Fox Entertainment,N/A,N/A,"Comedy,Drama,Romance",28-Sep-18
The Crime of Monsieur Lange,"$36,438 ",Rialto Pictures,N/A,N/A,"Comedy,Crime,Drama",17-Nov-17
Moynihan,"$31,970 ",First Run,N/A,N/A,"Biography,Documentary",3-Oct-18
Half the Picture,"$21,589 ",Gravitas Ventures,N/A,N/A,Documentary,8-Jun-18
A Paris Education,"$21,598 ",Kino Lorber,N/A,N/A,Drama,30-Aug-18
A Man Vanishes,"$6,201 ",Icarus Films,N/A,N/A,Documentary,15-Nov-12
Far from Vietnam,"$8,132 ",Icarus Films,N/A,N/A,"Documentary,Drama,War",28-Aug-13
Around India with a Movie Camera,"$10,389 ",Icarus Films,N/A,N/A,Documentary,30-Nov-18
Tosca's Kiss,"$18,236 ",Icarus Films,N/A,N/A,"Documentary,Music",6-Jun-14
Strangers on the Earth,"$9,518 ",First Run,N/A,N/A,Documentary,4-May-18
Rat Film,"$35,195 ",The Cinema Guild,N/A,N/A,Documentary,15-Sep-17
That Summer,"$34,556 ",IFC Films,N/A,N/A,Documentary,18-May-18
To Die Is Hard,"$5,129 ",Driving With Our Eyes Shut,N/A,N/A,"Action,Comedy",17-Dec-10
Realms,$147 ,The Film Arcade,N/A,R,"Horror,Mystery",7-Sep-18
Le joli mai,"$55,038 ",Icarus Films,N/A,N/A,Documentary,13-Sep-13
The Breadwinner,$834 ,GathrFilms,N/A,PG-13,"Animation,Drama,Family,War",13-Apr-18
Bad Lucky Goat,"$5,088 ",Film Movement,N/A,N/A,"Comedy,Drama",13-Oct-17
Nostalgia for the Light,"$163,962 ",Icarus Films,N/A,N/A,Documentary,13-Jan-11
Midget Zombie Takeover,"$11,006 ",Driving With Our Eyes Shut,"$2,000 ",N/A,"Comedy,Horror",8-Feb-13
30 Years of Garbage: The Garbage Pail Kids Story,"$27,739 ",Indican Pictures,N/A,N/A,Documentary,11-Aug-17
Higher Power,$528 ,Magnolia Pictures,N/A,R,"Action,Sci-Fi,Thriller",11-May-18
The Legend of Hallowaiian,$451 ,Viva Pictures Distribution,N/A,PG,"Adventure,Animation,Family,Fantasy",19-Oct-18
TVTV: Video Revolutionaries,$812 ,First Run,N/A,N/A,Documentary,19-Oct-18
33 & Beyond: The Royal Art of Freemasonry,"$16,533 ",GathrFilms,N/A,N/A,Documentary,13-Oct-17
The Ghosts of Johnson Woods,"$3,000 ",Driving With Our Eyes Shut,N/A,N/A,"Horror,Thriller",2-Dec-16
Under the Turban,"$1,190 ",GathrFilms,N/A,N/A,Documentary,25-Apr-18
Henchmen,"$1,469 ",Entertainment One,N/A,N/A,"Animation,Comedy",7-Dec-18
BOSTON: An American Running Story,"$19,499 ",GathrFilms,N/A,N/A,Documentary,22-Aug-17
Gangsterdam,$954 ,Distrib Films,N/A,N/A,Comedy,19-Sep-18
Invisible Hands,"$1,034 ",First Run,N/A,N/A,Documentary,23-Nov-18
Two Men Went to War,"$1,227 ",Indican Pictures,N/A,PG,"Comedy,Drama,War",25-May-18
Bronx Gothic,"$27,151 ",Grasshopper Film,N/A,N/A,Documentary,14-Jul-17
Beauty and the Beholder,"$1,368 ",Reel One Entertainment,N/A,N/A,"Comedy,Drama,Romance",26-Oct-18
Columbus,"$1,017,107 ",Independent,N/A,N/A,Drama,4-Aug-17
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$19,278 ",GathrFilms,N/A,N/A,Documentary,10-Aug-17
I Still See You,"$1,359 ",Lionsgate,N/A,PG-13,"Fantasy,Thriller",12-Oct-18
Permanent,"$12,847 ",Magnolia Pictures,N/A,PG-13,Comedy,15-Dec-17
Altered Perception,"$1,259 ",Cinedigm Entertainment Group,N/A,N/A,"Fantasy,Mystery,Sci-Fi,Thriller",4-May-18
Guy,"$1,319 ",Distrib Films,N/A,N/A,"Comedy,Drama,Music",14-Dec-18
The Thousand Faces of Dunjia,"$124,187 ",Well Go USA Entertainment,N/A,N/A,"Action,Adventure,Fantasy",15-Dec-17
The Fencer,"$95,952 ",CFI Releasing,N/A,N/A,"Biography,Drama,History,Sport",21-Jul-17
The Lost Village,"$1,780 ",First Run,N/A,N/A,Documentary,19-Oct-18
Marrowbone,"$1,377 ",Magnolia Pictures,N/A,R,"Drama,Horror,Mystery,Thriller",13-Apr-18
An Actor Prepares,"$1,743 ",Gravitas Ventures,N/A,N/A,Comedy,31-Aug-18
From the East,"$8,540 ",Icarus Films,N/A,N/A,Documentary,17-Apr-16
Tournament,"$4,942 ",GathrFilms,N/A,N/A,"Adventure,Comedy,Fantasy,Music,Romance,Western",12-Oct-17
That Way Madness Lies...,"$1,447 ",First Run,N/A,N/A,"Documentary,Drama",14-Dec-18
Finding Happiness,"$1,841 ",GathrFilms,N/A,N/A,Documentary,6-Apr-18
Signature Move,"$31,551 ",Newcity,N/A,N/A,"Comedy,Drama,Romance",29-Sep-17
In Search of Fellini,"$12,772 ",AMBI Distribution,N/A,R,"Adventure,Drama,Romance",15-Sep-17
A Wizard's Tale,"$2,150 ",Blue Fox Entertainment,N/A,N/A,"Adventure,Animation,Comedy,Family,Fantasy",14-Sep-18
Forever,"$31,502 ",Icarus Films,N/A,N/A,Documentary,12-Sep-07
10x10,"$2,263 ",Vertical Entertainment,N/A,N/A,Thriller,13-Apr-18
West Of The Jordan River,"$1,926 ",Kino Lorber,N/A,N/A,Documentary,26-Jan-18
Last Men in Aleppo,"$14,637 ",Grasshopper Film,N/A,N/A,"Documentary,War",5-May-17
The Pact,"$2,488 ",Sony Pictures Releasing,N/A,R,"Horror,Thriller",26-Oct-18
Charged: The Eduardo Garcia Story,"$15,920 ",GathrFilms,N/A,N/A,"Action,Adventure,Biography,Documentary",4-Oct-17
The Swan,"$2,367 ",Synergetic Distribution,N/A,N/A,Drama,10-Aug-18
The Cage Fighter,"$3,392 ",IFC Films,N/A,N/A,"Action,Documentary,Drama",2-Feb-18
Escapes,"$17,778 ",Grasshopper Film,N/A,N/A,Documentary,28-Jul-17
Kingsman: The Golden Circle,"$100,234,838 ",Twentieth Century Fox,"$104,000,000 ",R,"Action,Adventure,Comedy",22-Sep-17
The Paris Opera,"$55,482 ",Film Movement,N/A,N/A,Documentary,18-Oct-17
Shadowman,"$13,498 ",Film Movement,N/A,N/A,"Biography,Documentary",1-Dec-17
The Second Time Around,"$3,837 ",First Run,N/A,N/A,Romance,30-Nov-18
At First Light,"$3,292 ",Entertainment One,N/A,N/A,"Drama,Sci-Fi,Thriller",28-Sep-18
Tom of Finland,"$3,314 ",GathrFilms,N/A,N/A,"Biography,Drama",23-Feb-18
Straight Into a Storm,"$2,684 ",Abramorama,N/A,N/A,"Biography,Documentary,Music",15-Jun-18
ACORN and the Firestorm,"$2,621 ",First Run,N/A,N/A,Documentary,6-Apr-18
Nana,"$2,784 ",Fun Academy Motion Pictures,N/A,N/A,"Documentary,History,War",13-Apr-18
Living Proof,"$9,512 ",GathrFilms,N/A,N/A,"Biography,Documentary",8-Sep-17
Over the Limit,"$3,243 ",Film Movement,N/A,N/A,"Documentary,Sport",12-Oct-18
Hot to Trot,"$3,133 ",First Run,N/A,N/A,Documentary,24-Aug-18
Song Of Granite,"$16,182 ",Oscilloscope,N/A,N/A,"Biography,Drama",15-Nov-17
Game Changers,"$3,142 ",Ammo Content,N/A,N/A,Documentary,29-Jun-18
Under The Wire,"$3,429 ",Abramorama,N/A,R,Documentary,16-Nov-18
Followers,"$3,350 ",Cinedigm Entertainment Group,N/A,N/A,Thriller,23-Mar-18
Félicité,"$12,433 ",Strand Releasing,N/A,N/A,"Drama,Music",27-Oct-17
The Citizen,"$3,495 ",ArtMattan Productions,N/A,N/A,Drama,6-Jul-18
Brimstone & Glory,"$32,059 ",Oscilloscope,N/A,N/A,Documentary,27-Oct-17
Porto,"$15,126 ",Kino Lorber,N/A,N/A,"Drama,Romance",17-Nov-17
The Family,"$3,696 ",Film Movement,N/A,N/A,Drama,3-Aug-18
Armed,"$3,948 ",GVN Releasing,N/A,R,"Action,Thriller",14-Sep-18
