title,trailer,trailer_date,movie_date
Bad Boys for Life, Viral - The Toast (2020),"January 21, 2020","January 17, 2020"
Emma, TV Spot - Romance (2020),"January 21, 2020","February 21, 2020"
Emma, TV Spot - Review (2020),"January 21, 2020","February 21, 2020"
The Warrior Queen of Jhansi, Trailer (2019),"September 23, 2019","November 15, 2019"
Bull, Trailer (2020),"January 22, 2020","March 20, 2020"
Rogue Warfare, Trailer (2019),"August 30, 2019","October 4, 2019"
Escape from Pretoria, Theatrical Trailer (2020),"January 22, 2020","March 6, 2020"
The Lodge, Theatrical Trailer (2020),"January 22, 2020","February 7, 2020"
Vivarium, Trailer (2020),"January 23, 2020","March 27, 2020"
The Rhythm Section, Trailer (2020),"September 19, 2019","January 31, 2020"
Angel Has Fallen, TV Spot - Letters (2019),"August 07, 2019","August 23, 2019"
The Addams Family, Feature Trailer (2019),"August 07, 2019","October 11, 2019"
Angel Has Fallen, TV Spot - Planned (2019),"August 07, 2019","August 23, 2019"
The Kitchen, Featurette - Both Sides of the Lens (2019),"August 07, 2019","August 9, 2019"
Angel Has Fallen, TV Spot - Patriot (2019),"August 07, 2019","August 23, 2019"
The Day Shall Come, Trailer (2019),"August 07, 2019","September 27, 2019"
Hellboy, Featurette - Becoming Hellboy (2019),"April 11, 2019","April 12, 2019"
The Dead Don't Die, TV Spot - How to Survive a Zombie Apocalypse (2019),"May 08, 2019","June 14, 2019"
John Wick: Chapter 3 - Parabellum (2019), Director Conversation,"May 08, 2019","May 17, 2019"
Being Frank, Trailer (2019),"May 09, 2019","June 14, 2019"
It: Chapter Two, Teaser Trailer (2019),"May 09, 2019","September 6, 2019"
I Am Mother, Trailer (2019),"May 09, 2019","June 7, 2019"
Aladdin, TV Spot - Wingman (2019),"May 09, 2019","May 24, 2019"
Swinging Safari, Theatrical Trailer (2019),"May 13, 2019","June 21, 2019"
Brightburn (2019), Wrecked,"May 10, 2019","May 24, 2019"
Stuber, International Trailer (2019),"May 21, 2019","July 12, 2019"
Dark Phoenix, Featurette - The X-Men Legacy (2019),"May 13, 2019","June 7, 2019"
Dark Phoenix, Featurette - Chris Claremont and Louise Simonson (2019),"May 13, 2019","June 7, 2019"
Supervized, Trailer (2019),"May 21, 2019","July 19, 2019"
Toy Story 4, Theatrical Trailer (2019),"May 21, 2019","June 21, 2019"
